指标名称,中国:北京:中原领先指数,中国:北京:二手房出售挂牌价指数,中国:北京:二手房出售挂牌量指数,中国:北京:中原报价指数,中国:北京:成交面积(签约):二手房:住宅,中国:北京:成交套数(签约):二手房:住宅,中国:北京:成交套均面积(签约):二手房:住宅,中国:北京:二手住宅租金指数,中国:北京:租金回报率:二手住宅,中国:北京:可售面积:商品房:住宅,中国:北京:批准预售面积:商品房:住宅,中国:北京:供应土地规划建筑面积:住宅类用地,中国:北京:成交土地规划建筑面积:住宅类用地,中国:上海:中原领先指数,中国:上海:二手房出售挂牌价指数,中国:上海:二手房出售挂牌量指数,中国:上海:中原报价指数,中国:上海:成交面积:二手房,中国:上海:成交套数:二手房,中国:上海:成交套均面积:二手房,中国:上海:二手住宅租金指数,中国:上海:租金回报率:二手住宅,中国:上海:可售面积:商品房:住宅,中国:上海:批准预售面积:商品房:住宅,中国:上海:供应土地规划建筑面积:住宅类用地,中国:上海:成交土地规划建筑面积:住宅类用地,中国:深圳:中原领先指数,中国:深圳:二手房出售挂牌价指数,中国:深圳:二手房出售挂牌量指数,中国:深圳:中原报价指数,中国:深圳:成交面积:二手房:住宅,中国:深圳:成交套数:二手房:住宅,中国:深圳:成交套均面积:二手房:住宅,中国:深圳:二手住宅租金指数,中国:深圳:租金回报率:二手住宅,中国:深圳:可售面积:商品房:住宅,中国:深圳:批准预售面积:商品房:住宅,中国:深圳:供应土地规划建筑面积:住宅类用地,中国:深圳:成交土地规划建筑面积:住宅类用地,中国:广州:中原领先指数,中国:广州:二手房出售挂牌价指数,中国:广州:二手房出售挂牌量指数,中国:广州:中原报价指数,中国:广州:成交面积:二手房:住宅,中国:广州:成交套数:二手房:住宅,中国:广州:成交套均面积::二手房:住宅,中国:广州:二手住宅租金指数,中国:广州:租金回报率:二手住宅,中国:广州:可售面积:商品房:住宅,中国:广州:批准预售面积:商品房:住宅,中国:广州:供应土地规划建筑面积:住宅类用地,中国:广州:成交土地规划建筑面积:住宅类用地,上海:城镇常住居民人均可支配收入:累计同比,广东:深圳:居民人均可支配收入:同比,广东:广州:城镇居民人均可支配收入:累计同比,北京:城镇居民人均可支配收入:累计同比,中国:个人住房公积金贷款利率:5年以上,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:消费者信心指数:就业,中国:消费者信心指数:收入,中国:消费者信心指数:预期,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:租赁房房租:环比
2014-08-11,,,,25,,,,,,1015.8334,,,,,,,29.53,,,,,,1156.16,,,,,,,16.33,,,,,,3762827.16,,,,,,,39.04,,,,,,8652198.1285,,,,,,,,,,,,,,,,
2014-08-12,,,,,,,,,,1023.6855,,,,,,,,,,,,,1159.26,,,,,,,,,,,,,3747816.06,,,,,,,,,,,,,8640678.4671,,,,,,,,,,,,,,,,
2014-08-13,,,,,,,,,,1021.8752,,,,,,,,,,,,,1159.67,,,,,,,,,,,,,3775468.67,,,,,,,,,,,,,8625168.8298,,,,,,,,,,,,,,,,
2014-08-14,,,,,,,,,,,,,,,,,,,,,,,1166.82,,,,,,,,,,,,,3746628.99,,,,,,,,,,,,,8613778.6316,,,,,,,,,,,,,,,,
2014-08-15,,,,,,,,,,1015.8058,,,,,,,,,,,,,1168.16,,,,,,,,,,,,,3741600.2,,,,,,,,,,,,,8659681.0028,,,,,,,,,,,,,,,,
2014-08-16,,,,,,,,,,1036.2114,,,,,,,,,,,,,1168.51,,,,,,,,,,,,,3734243.87,,,,,,,,,,,,,8640896.6624,,,,,,,,,,,,,,,,
2014-08-17,,,,,163958.4,1894,86.56726504751848,,,1037.7293,,,,,,,,,,,,,1166.28,,,,,,,,74208.05,873,85.00349369988545,,,3730099.2,,,,,,,,,,,,,8629963.6535,,,,,,,,,,,,,,,,
2014-08-18,,,,28.29,,,,,,1045.1021,,,,,,,29.36,,,,,,1164.78,,,,,,,15.44,,,,,,3699154.28,,,,,,,30.77,,,,,,8617087.7491,,,,,,,,,,,,,,,,
2014-08-19,,,,,,,,,,1042.2115,,,,,,,,,,,,,1158.34,,,,,,,,,,,,,3705821.96,,,,,,,,,,,,,8771987.8653,,,,,,,,,,,,,,,,
2014-08-20,,,,,,,,,,1042.1951,,,,,,,,,,,,,1153.49,,,,,,,,,,,,,3691631.22,,,,,,,,,,,,,8762332.7685,,,,,,,,,,,,,,,,
2014-08-21,,,,,,,,,,1038.9167,,,,,,,,,,,,,1153.38,,,,,,,,,,,,,3671893.23,,,,,,,,,,,,,8848388.5282,,,,,,,,,,,,,,,,
2014-08-22,,,,,,,,,,1042.4866,,,,,,,,,,,,,1153.66,,,,,,,,,,,,,3662689.41,,,,,,,,,,,,,8883295.3043,,,,,,,,,,,,,,,,
2014-08-23,,,,,,,,,,1044.5077,,,,,,,,,,,,,1150.83,,,,,,,,,,,,,3657109.25,,,,,,,,,,,,,8863830.3774,,,,,,,,,,,,,,,,
2014-08-24,,,,,178643.77,2046,87.31367057673509,,,1042.2875,,,,,,,,,,,,,1148.63,,,,,,,,85611.33,999,85.69702702702703,,,3647538.32,,,,,,,,,,,,,8852180.1414,,,,,,,,,,,,,,,,
2014-08-25,,,,24.57,,,,,,1040.233,,,,,,,30.76,,,,,,1150.45,,,,,,,17.85,,,,,,3642276.01,,,,,,,36.52,,,,,,8776363.0136,,,,,,,,,,,,,,,,
2014-08-26,,,,,,,,,,1028.3525,,,,,,,,,,,,,1148.85,,,,,,,,,,,,,3621043.66,,,,,,,,,,,,,8778938.6374,,,,,,,,,,,,,,,,
2014-08-27,,,,,,,,,,1025.089,,,,,,,,,,,,,1145.04,,,,,,,,,,,,,3623269.03,,,,,,,,,,,,,8764666.1228,,,,,,,,,,,,,,,,
2014-08-28,,,,,,,,,,1022.7084,,,,,,,,,,,,,1143.46,,,,,,,,,,,,,3683924.04,,,,,,,,,,,,,8912136.7498,,,,,,,,,,,,,,,,
2014-08-29,,,,,,,,,,1021.2701,,,,,,,,,,,,,1193.1,,,,,,,,,,,,,3673581.05,,,,,,,,,,,,,9073345.539,,,,,,,,,,,,,,,,
2014-08-30,,,,,,,,,,1018.0941,,,,,,,,,,,,,1193.32,,,,,,,,,,,,,3659180.25,,,,,,,,,,,,,9048013.9823,,,,,,,,,,,,,,,,
2014-08-31,527,,,,214581.49,2458,87.29922294548413,152.7,1.98,1026.5424,,53.2884,50.0262,331.7,,,,,,,185.5,2.06,1188.07,,172.4408,32.989,413,,,,121460.2,1345,90.3049814126394,152.9,2.48,3651759.01,,0,0,486,,,,32.78,,,165.9,2.44,9029551.6079,81.52,97.2866,0,,,,,4.5,,,,107.00000000000001,1.9909,0.1759,2.6206,0.1913
2014-09-01,,,,29.02,,,,,,1023.6968,,,,,,,31.34,,,,,,1187.3,,,,,,,18.59,,,,,,3689787.19,,,,,,,37.82,,,,,,8994209.0008,,,,,,,,,,,,,,,,
2014-09-02,,,,,,,,,,1022.2303,,,,,,,,,,,,,1191.5,,,,,,,,,,,,,3698010.19,,,,,,,,,,,,,8991306.8689,,,,,,,,,,,,,,,,
2014-09-03,,,,,,,,,,1069.8485,,,,,,,,,,,,,1194.83,,,,,,,,,,,,,3686581.38,,,,,,,,,,,,,8993994.216,,,,,,,,,,,,,,,,
2014-09-04,,,,,,,,,,1068.9708,,,,,,,,,,,,,1198.83,,,,,,,,,,,,,3738573.64,,,,,,,,,,,,,9062898.4967,,,,,,,,,,,,,,,,
2014-09-05,,,,,,,,,,1069.4739,,,,,,,,,,,,,1198.18,,,,,,,,,,,,,3763106.79,,,,,,,,,,,,,9242909.7984,,,,,,,,,,,,,,,,
2014-09-06,,,,,,,,,,1070.5213,,,,,,,,,,,,,1203.79,,,,,,,,,,,,,3761077.41,,,,,,,,,,,,,9227351.7273,,,,,,,,,,,,,,,,
2014-09-07,,,,,157946,1775,88.98366197183098,,,1068.4388,,,,,,,,,,,,,1201.81,,,,,,,,63507.06,779,81.52382541720154,,,3755994.39,,,,,,,,,,,,,9220712.7095,,,,,,,,,,,,,,,,
2014-09-08,,,,29.96,,,,,,1067.101,,,,,,,28.73,,,,,,1201.13,,,,,,,17.18,,,,,,3751014.8,,,,,,,34.11,,,,,,9218428.4797,,,,,,,,,,,,,,,,
2014-09-09,,,,,,,,,,1064.1928,,,,,,,,,,,,,1196.84,,,,,,,,,,,,,3855354.09,,,,,,,,,,,,,9204738.1893,,,,,,,,,,,,,,,,
2014-09-10,,,,,,,,,,1059.3611,,,,,,,,,,,,,1196.96,,,,,,,,,,,,,3844127.85,,,,,,,,,,,,,9237663.8318,,,,,,,,,,,,,,,,
2014-09-11,,,,,,,,,,1058.1526,,,,,,,,,,,,,1205.15,,,,,,,,,,,,,3797358.67,,,,,,,,,,,,,9287937.2942,,,,,,,,,,,,,,,,
2014-09-12,,,,,,,,,,1062.7456,,,,,,,,,,,,,1206.51,,,,,,,,,,,,,3924307.78,,,,,,,,,,,,,9223937.3635,,,,,,,,,,,,,,,,
2014-09-13,,,,,,,,,,1056.0869,,,,,,,,,,,,,1207.55,,,,,,,,,,,,,3916509.6,,,,,,,,,,,,,9198818.5218,,,,,,,,,,,,,,,,
2014-09-14,,,,,155698.09,1768,88.06453054298642,,,1054.8928,,,,,,,,,,,,,1206.14,,,,,,,,54698.3,637,85.86860282574568,,,3910251.4,,,,,,,,,,,,,9185261.2456,,,,,,,,,,,,,,,,
2014-09-15,,,,28.82,,,,,,1053.8798,,,,,,,28.97,,,,,,1204.69,,,,,,,17.06,,,,,,3899878.58,,,,,,,28.57,,,,,,9283141.4684,,,,,,,,,,,,,,,,
2014-09-16,,,,,,,,,,1055.3639,,,,,,,,,,,,,1205.95,,,,,,,,,,,,,3889507.17,,,,,,,,,,,,,9364008.2539,,,,,,,,,,,,,,,,
2014-09-17,,,,,,,,,,1056.3163,,,,,,,,,,,,,1211.26,,,,,,,,,,,,,3881688.16,,,,,,,,,,,,,9381509.5676,,,,,,,,,,,,,,,,
2014-09-18,,,,,,,,,,1056.9344,,,,,,,,,,,,,1221.64,,,,,,,,,,,,,3966256.32,,,,,,,,,,,,,9321409.3173,,,,,,,,,,,,,,,,
2014-09-19,,,,,,,,,,1055.6765,,,,,,,,,,,,,1225.61,,,,,,,,,,,,,4096647.14,,,,,,,,,,,,,9358135.0087,,,,,,,,,,,,,,,,
2014-09-20,,,,,,,,,,1050.3623,,,,,,,,,,,,,1227.49,,,,,,,,,,,,,4190070.73,,,,,,,,,,,,,9334617.5227,,,,,,,,,,,,,,,,
2014-09-21,,,,,174400.68,1985,87.8592846347607,,,1045.3682,,,,,,,,,,,,,1227.61,,,,,,,,82810.01,950,87.16843157894736,,,4172190.01,,,,,,,,,,,,,9320677.7963,,,,,,,,,,,,,,,,
2014-09-22,,,,26.16,,,,,,1042.5565,,,,,,,27.97,,,,,,1226.05,,,,,,,16.99,,,,,,4156394.82,,,,,,,27.48,,,,,,9360668.8556,,,,,,,,,,,,,,,,
2014-09-23,,,,,,,,,,1043.3142,,,,,,,,,,,,,1224.26,,,,,,,,,,,,,4225690.24,,,,,,,,,,,,,9348497.756,,,,,,,,,,,,,,,,
2014-09-24,,,,,,,,,,1039.0462,,,,,,,,,,,,,1235.99,,,,,,,,,,,,,4234953.21,,,,,,,,,,,,,9355039.6418,,,,,,,,,,,,,,,,
2014-09-25,,,,,,,,,,1046.3667,,,,,,,,,,,,,1237.35,,,,,,,,,,,,,4364069.73,,,,,,,,,,,,,9424271.8432,,,,,,,,,,,,,,,,
2014-09-26,,,,,,,,,,1043.9741,,,,,,,,,,,,,1241.32,,,,,,,,,,,,,4372854.9,,,,,,,,,,,,,9556212.9443,,,,,,,,,,,,,,,,
2014-09-27,,,,,,,,,,1046.4639,,,,,,,,,,,,,1249.94,,,,,,,,,,,,,4369224.55,,,,,,,,,,,,,9534121.8545,,,,,,,,,,,,,,,,
2014-09-28,,,,,226343.16,2519,89.85437078205638,,,1063.2732,,,,,,,,,,,,,1248.19,,,,,,,,109514.5,1205,90.88340248962656,,,4531133.97,,,,,,,,,,,,,9573112.5857,,,,,,,,,,,,,,,,
2014-09-29,,,,25.73,,,,,,1061.6216,,,,,,,27.1,,,,,,1237.55,,,,,,,18.48,,,,,,4613785.9,,,,,,,35.04,,,,,,9810123.4999,,,,,,,,,,,,,,,,
2014-09-30,521,,,,,,,153.2,2.01,1061.8261,,168.4298,35.6799,331.2,,,,,,,188.1,2.1,1250.44,,18,198.596,412.7,,,,,,,155,2.51,4603092.61,,18.65,0,474.7,,,,33.07,,,165.6,2.5,1.00894901315E7,147.13,6.9831,87.8702,9.1,,,9.1,4.5,6.96,,,108.4,1.6275,0.4537,2.5937,0.2997
2014-10-01,,,,,,,,,,1112.3932,,,,,,,,,,,,,1258.17,,,,,,,,,,,,,4598921.81,,,,,,,,,,,,,1.00770565609E7,,,,,,,,,,,,,,,,
2014-10-02,,,,,,,,,,1107.101,,,,,,,,,,,,,1258.13,,,,,,,,,,,,,4598852.47,,,,,,,,,,,,,1.00688250947E7,,,,,,,,,,,,,,,,
2014-10-03,,,,,,,,,,1106.7239,,,,,,,,,,,,,1258.26,,,,,,,,,,,,,4598765.44,,,,,,,,,,,,,1.00616545593E7,,,,,,,,,,,,,,,,
2014-10-04,,,,,,,,,,1106.4393,,,,,,,,,,,,,1255.61,,,,,,,,,,,,,4594868.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-05,,,,,97436.35,1093,89.14579139981701,,,1105.4624,,,,,,,,,,,,,1254.29,,,,,,,,26083.77,309,84.41349514563107,,,4593488.17,,,,,,,,,,,,,1.00471640364E7,,,,,,,,,,,,,,,,
2014-10-06,,,,23.58,,,,,,1104.6401,,,,,,,29.57,,,,,,1255.79,,,,,,,23.98,,,,,,4591718.58,,,,,,,41,,,,,,1.00404174558E7,,,,,,,,,,,,,,,,
2014-10-07,,,,,,,,,,1103.9187,,,,,,,,,,,,,1257.84,,,,,,,,,,,,,4587067.89,,,,,,,,,,,,,1.00320056452E7,,,,,,,,,,,,,,,,
2014-10-08,,,,,,,,,,1104.5649,,,,,,,,,,,,,1256.02,,,,,,,,,,,,,4577954.74,,,,,,,,,,,,,1.00106893403E7,,,,,,,,,,,,,,,,
2014-10-09,,,,,,,,,,1103.6806,,,,,,,,,,,,,1255.64,,,,,,,,,,,,,4531480.03,,,,,,,,,,,,,9982753.9294,,,,,,,,,,,,,,,,
2014-10-10,,,,,,,,,,1102.0922,,,,,,,,,,,,,1261.4,,,,,,,,,,,,,4542975.51,,,,,,,,,,,,,9968535.8435,,,,,,,,,,,,,,,,
2014-10-11,,,,,,,,,,1115.3965,,,,,,,,,,,,,1267.15,,,,,,,,,,,,,4536795.87,,,,,,,,,,,,,9939336.0252,,,,,,,,,,,,,,,,
2014-10-12,,,,,91718.84,1054,87.01977229601518,,,1105.1583,,,,,,,,,,,,,1260.17,,,,,,,,47901.61,566,84.63181978798586,,,4529790.44,,,,,,,,,,,,,9893220.5021,,,,,,,,,,,,,,,,
2014-10-13,,,,37.01,,,,,,1108.164,,,,,,,34.5,,,,,,1258.09,,,,,,,25.94,,,,,,4473486.91,,,,,,,46.15,,,,,,9878400.0255,,,,,,,,,,,,,,,,
2014-10-14,,,,,,,,,,1107.5691,,,,,,,,,,,,,1252.92,,,,,,,,,,,,,4454703.36,,,,,,,,,,,,,9865338.0129,,,,,,,,,,,,,,,,
2014-10-15,,,,,,,,,,1111.84,,,,,,,,,,,,,1250.26,,,,,,,,,,,,,4474270.58,,,,,,,,,,,,,9840824.4738,,,,,,,,,,,,,,,,
2014-10-16,,,,,,,,,,1109.1554,,,,,,,,,,,,,1258.58,,,,,,,,,,,,,4451977.86,,,,,,,,,,,,,9841304.5849,,,,,,,,,,,,,,,,
2014-10-17,,,,,,,,,,1107.5445,,,,,,,,,,,,,1257.45,,,,,,,,,,,,,4292083.28,,,,,,,,,,,,,9915386.9978,,,,,,,,,,,,,,,,
2014-10-18,,,,,,,,,,1099.6138,,,,,,,,,,,,,1264.15,,,,,,,,,,,,,4276690.62,,,,,,,,,,,,,9876818.5109,,,,,,,,,,,,,,,,
2014-10-19,,,,,153458.51,1665,92.16727327327327,,,1100.4309,,,,,,,,,,,,,1259.9,,,,,,,,75268.89,885,85.04959322033898,,,4267300.58,,,,,,,,,,,,,9853101.8302,,,,,,,,,,,,,,,,
2014-10-20,,,,36.04,,,,,,1097.4629,,,,,,,31.47,,,,,,1256.84,,,,,,,25.79,,,,,,4252077.16,,,,,,,42,,,,,,9857051.6675,,,,,,,,,,,,,,,,
2014-10-21,,,,,,,,,,1100.8926,,,,,,,,,,,,,1257.93,,,,,,,,,,,,,4225307.09,,,,,,,,,,,,,9955723.2612,,,,,,,,,,,,,,,,
2014-10-22,,,,,,,,,,1115.9416,,,,,,,,,,,,,1255.07,,,,,,,,,,,,,4196599.44,,,,,,,,,,,,,9815777.0124,,,,,,,,,,,,,,,,
2014-10-23,,,,,,,,,,1118.6824,,,,,,,,,,,,,1264.23,,,,,,,,,,,,,4299976.4,,,,,,,,,,,,,9883451.3112,,,,,,,,,,,,,,,,
2014-10-24,,,,,,,,,,1115.6778,,,,,,,,,,,,,1269.5,,,,,,,,,,,,,4275363.09,,,,,,,,,,,,,9908625.2604,,,,,,,,,,,,,,,,
2014-10-25,,,,,,,,,,1111.5382,,,,,,,,,,,,,1278,,,,,,,,,,,,,4259651.69,,,,,,,,,,,,,9868762.0606,,,,,,,,,,,,,,,,
2014-10-26,,,,,231162.61,2621,88.19634109118657,,,1108.3854,,,,,,,,,,,,,1273.78,,,,,,,,88067.33,1075,81.9230976744186,,,4245013.83,,,,,,,,,,,,,9839520.6781,,,,,,,,,,,,,,,,
2014-10-27,,,,34.57,,,,,,1100.9527,,,,,,,28.52,,,,,,1268.57,,,,,,,24.33,,,,,,4213056.39,,,,,,,34.25,,,,,,9872044.6688,,,,,,,,,,,,,,,,
2014-10-28,,,,,,,,,,1097.0111,,,,,,,,,,,,,1269.39,,,,,,,,,,,,,4238583.25,,,,,,,,,,,,,9855263.7459,,,,,,,,,,,,,,,,
2014-10-29,,,,,,,,,,1101.5933,,,,,,,,,,,,,1275.79,,,,,,,,,,,,,4248057.12,,,,,,,,,,,,,9860091.271,,,,,,,,,,,,,,,,
2014-10-30,,,,,,,,,,1104.5002,,,,,,,,,,,,,1275.88,,,,,,,,,,,,,4197046.97,,,,,,,,,,,,,9814967.8541,,,,,,,,,,,,,,,,
2014-10-31,522,,,,,,,153.1,2,1096.5107,,38.044,105.2204,333.7,,,,,,,191.1,2.11,1273.44,,244.8197,12.8264,419.3,,,,,,,155.1,2.48,4254156.62,,0,18.65,465.5,,,,24.78,,,164.9,2.53,9747718.9603,115.82,181.3614,0,,,,,4.5,,,,107.2,1.6011,0.0314,2.7024,0.3248
2014-11-01,,,,,,,,,,1092.148,,,,,,,,,,,,,1263.24,,,,,,,,,,,,,4236428.17,,,,,,,,,,,,,9721609.7978,,,,,,,,,,,,,,,,
2014-11-02,,,,,325848.59,3837,84.92274954391452,,,1113.788,,,,,,,,,,,,,1260.02,,,,,,,,116836.2,1279,91.34964816262705,,,4212243.52,,,,,,,,,,,,,9703569.4923,,,,,,,,,,,,,,,,
2014-11-03,,,,32.22,,,,,,1114.9878,,,,,,,31.09,,,,,,1258.78,,,,,,,23.48,,,,,,4272771.27,,,,,,,30.57,,,,,,9690616.2881,,,,,,,,,,,,,,,,
2014-11-04,,,,,,,,,,1115.3232,,,,,,,,,,,,,1256.47,,,,,,,,,,,,,4255783.64,,,,,,,,,,,,,9730188.7753,,,,,,,,,,,,,,,,
2014-11-05,,,,,,,,,,1113.6028,,,,,,,,,,,,,1254.59,,,,,,,,,,,,,4280003.11,,,,,,,,,,,,,9757965.9652,,,,,,,,,,,,,,,,
2014-11-06,,,,,,,,,,1120.8527,,,,,,,,,,,,,1259.88,,,,,,,,,,,,,4322558.42,,,,,,,,,,,,,9777704.4205,,,,,,,,,,,,,,,,
2014-11-07,,,,,,,,,,1135.0901,,,,,,,,,,,,,1260.68,,,,,,,,,,,,,4370848.78,,,,,,,,,,,,,9829769.1909,,,,,,,,,,,,,,,,
2014-11-08,,,,,,,,,,1129.1353,,,,,,,,,,,,,1261.83,,,,,,,,,,,,,4355948.77,,,,,,,,,,,,,9798118.1554,,,,,,,,,,,,,,,,
2014-11-09,,,,,222715.17,2583,86.22344947735192,,,1125.4192,,,,,,,,,,,,,1258.3,,,,,,,,117535.52,1368,85.91777777777777,,,4348496.27,,,,,,,,,,,,,9778074.3924,,,,,,,,,,,,,,,,
2014-11-10,,,,34,,,,,,1123.62,,,,,,,24.92,,,,,,1257.39,,,,,,,22.89,,,,,,4411954.01,,,,,,,32.31,,,,,,9785127.1071,,,,,,,,,,,,,,,,
2014-11-11,,,,,,,,,,1121.2422,,,,,,,,,,,,,1256.45,,,,,,,,,,,,,4551737.03,,,,,,,,,,,,,9776486.6531,,,,,,,,,,,,,,,,
2014-11-12,,,,,,,,,,1117.3042,,,,,,,,,,,,,1264.32,,,,,,,,,,,,,4644587.48,,,,,,,,,,,,,9752228.0138,,,,,,,,,,,,,,,,
2014-11-13,,,,,,,,,,1115.1277,,,,,,,,,,,,,1265.28,,,,,,,,,,,,,4751706.73,,,,,,,,,,,,,9700144.8588,,,,,,,,,,,,,,,,
2014-11-14,,,,,,,,,,1108.4336,,,,,,,,,,,,,1267.44,,,,,,,,,,,,,4793767.4,,,,,,,,,,,,,9869194.4583,,,,,,,,,,,,,,,,
2014-11-15,,,,,,,,,,1107.3679,,,,,,,,,,,,,1266.55,,,,,,,,,,,,,4738375.3,,,,,,,,,,,,,9831318.2899,,,,,,,,,,,,,,,,
2014-11-16,,,,,157336.87,1807,87.07076369673491,,,1101.9246,,,,,,,,,,,,,1264.42,,,,,,,,126250.45,1501,84.11089273817456,,,4673410.12,,,,,,,,,,,,,9806637.0823,,,,,,,,,,,,,,,,
2014-11-17,,,,33.17,,,,,,1106.9417,,,,,,,30.7,,,,,,1263.58,,,,,,,23.06,,,,,,4940538.03,,,,,,,33.8,,,,,,9724604.3553,,,,,,,,,,,,,,,,
2014-11-18,,,,,,,,,,1106.6239,,,,,,,,,,,,,1269.72,,,,,,,,,,,,,5006424.44,,,,,,,,,,,,,9998609.3256,,,,,,,,,,,,,,,,
2014-11-19,,,,,,,,,,1105.9823,,,,,,,,,,,,,1265.47,,,,,,,,,,,,,4985559.29,,,,,,,,,,,,,9972427.1125,,,,,,,,,,,,,,,,
2014-11-20,,,,,,,,,,1106.7528,,,,,,,,,,,,,1265.57,,,,,,,,,,,,,4970428.81,,,,,,,,,,,,,1.00693242323E7,,,,,,,,,,,,,,,,
2014-11-21,,,,,,,,,,1103.6136,,,,,,,,,,,,,1273.16,,,,,,,,,,,,,4869530.27,,,,,,,,,,,,,1.020466251E7,,,,,,,,,,,,,,,,
2014-11-22,,,,,,,,,,1081.5176,,,,,,,,,,,,,1277.33,,,,,,,,,,,,,4829494.51,,,,,,,,,,,,,1.01686767662E7,,,,,,,,,,,,,,,,
2014-11-23,,,,,242065.25,2776,87.19929755043228,,,1074.3374,,,,,,,,,,,,,1275.09,,,,,,,,141228.55,1699,83.12451442024721,,,4814785.02,,,,,,,,,,,,,1.01494712856E7,,,,,,,,,,,,,,,,
2014-11-24,,,,34.77,,,,,,1074.4843,,,,,,,30.06,,,,,,1273.19,,,,,,,24.13,,,,,,4781082.77,,,,,,,40.61,,,,,,1.01386904917E7,,,,,,,,,,,,,,,,
2014-11-25,,,,,,,,,,1072.4857,,,,,,,,,,,,,1283.47,,,,,,,,,,,,,4889308.77,,,,,,,,,,,,,1.0169840562E7,,,,,,,,,,,,,,,,
2014-11-26,,,,,,,,,,1068.1993,,,,,,,,,,,,,1285.57,,,,,,,,,,,,,4863739.31,,,,,,,,,,,,,1.02412978037E7,,,,,,,,,,,,,,,,
2014-11-27,,,,,,,,,,1076.5268,,,,,,,,,,,,,1296.19,,,,,,,,,,,,,4782944.75,,,,,,,,,,,,,1.02677644573E7,,,,,,,,,,,,,,,,
2014-11-28,,,,,,,,,,1072.3043,,,,,,,,,,,,,1300.81,,,,,,,,,,,,,4688529.89,,,,,,,,,,,,,1.03187313993E7,,,,,,,,,,,,,,,,
2014-11-29,,,,,,,,,,1084.6087,,,,,,,,,,,,,1295.32,,,,,,,,,,,,,4675808.21,,,,,,,,,,,,,1.02708861394E7,,,,,,,,,,,,,,,,
2014-11-30,530,,,,320036.09,3651,87.65710490276636,154.6,1.99,1083.4731,,33.8174,92.1202,331.4,,,,,,,190.9,2.13,1287.88,,138.4981,159.952,424.3,,,,147894.39,1698,87.09916961130742,156.1,2.46,4644157.83,,0,0,459.9,,,,35.8,,,165.5,2.57,1.02320923097E7,134.71,4.1584,160.9318,,,,,4.25,,,,108.99999999999999,1.4393,-0.2236,2.4213,-0.052
2014-12-01,,,,36.36,,,,,,1071.4654,,,,,,,31.65,,,,,,1286.37,,,,,,,24.7,,,,,,4613997.35,,,,,,,47.6,,,,,,1.01820750755E7,,,,,,,,,,,,,,,,
2014-12-02,,,,,,,,,,1070.48,,,,,,,,,,,,,1297.7,,,,,,,,,,,,,4629516.42,,,,,,,,,,,,,1.01897911265E7,,,,,,,,,,,,,,,,
2014-12-03,,,,,,,,,,1067.5432,,,,,,,,,,,,,1301.95,,,,,,,,,,,,,4684656.83,,,,,,,,,,,,,1.01820750755E7,,,,,,,,,,,,,,,,
2014-12-04,,,,,,,,,,1091.8329,,,,,,,,,,,,,1323.81,,,,,,,,,,,,,4729815.24,,,,,,,,,,,,,1.01963932125E7,,,,,,,,,,,,,,,,
2014-12-05,,,,,,,,,,,,,,,,,,,,,,,1330.21,,,,,,,,,,,,,4765306.26,,,,,,,,,,,,,1.01771903791E7,,,,,,,,,,,,,,,,
2014-12-06,,,,,,,,,,1123.234,,,,,,,,,,,,,1332.35,,,,,,,,,,,,,4702482.19,,,,,,,,,,,,,1.01420705035E7,,,,,,,,,,,,,,,,
2014-12-07,,,,,239509.08,2761,86.74722202100688,,,1137.1916,,,,,,,,,,,,,1327.32,,,,,,,,148700.38,1735,85.70627089337175,,,4678902.47,,,,,,,,,,,,,1.011195818E7,,,,,,,,,,,,,,,,
2014-12-08,,,,36.94,,,,,,,,,,,,,31.08,,,,,,1328.85,,,,,,,26.75,,,,,,4710738.99,,,,,,,34.55,,,,,,1.00465390269E7,,,,,,,,,,,,,,,,
2014-12-09,,,,,,,,,,1142.9153,,,,,,,,,,,,,1326.65,,,,,,,,,,,,,4811657.36,,,,,,,,,,,,,1.01277762564E7,,,,,,,,,,,,,,,,
2014-12-10,,,,,,,,,,1162.2334,,,,,,,,,,,,,1325.58,,,,,,,,,,,,,4842684.17,,,,,,,,,,,,,1.01572202613E7,,,,,,,,,,,,,,,,
2014-12-11,,,,,,,,,,1152.4621,,,,,,,,,,,,,1333.9,,,,,,,,,,,,,4756201.69,,,,,,,,,,,,,1.01977938693E7,,,,,,,,,,,,,,,,
2014-12-12,,,,,,,,,,1146.2055,,,,,,,,,,,,,1330.66,,,,,,,,,,,,,4776952.11,,,,,,,,,,,,,1.0174584215E7,,,,,,,,,,,,,,,,
2014-12-13,,,,,,,,,,1170.706,,,,,,,,,,,,,1326.75,,,,,,,,,,,,,4735777.93,,,,,,,,,,,,,1.01311469132E7,,,,,,,,,,,,,,,,
2014-12-14,,,,,277776.61,3042,91.31380999342538,,,1165.3772,,,,,,,,,,,,,1323.23,,,,,,,,160675.94,1821,88.2350027457441,,,4718865.84,,,,,,,,,,,,,1.00948307305E7,,,,,,,,,,,,,,,,
2014-12-15,,,,35.53,,,,,,1163.1606,,,,,,,30.53,,,,,,1318.85,,,,,,,25.3,,,,,,4671842.76,,,,,,,34.6,,,,,,1.00194753223E7,,,,,,,,,,,,,,,,
